ID;Name;City;Address;Post code;District;Live Date;Client access hours
ARN1GCU5;Alior Bank Oddział;Toruń;ul. Chełmińska 6;87-100;Kujawsko-Pomorskie;06.03.2019;09:00 - 17:00
ARN2GCT6;Alior Bank Oddział;Rumia;ul. Dąbrowskiego 20;84-230;Pomorskie;05.03.2019;09:00 - 16:30
ARN3GCJ1;Alior Bank Oddział;Tychy;ul. Niepodległości 188;43-100;Śląskie;22.03.2019;00:00 - 23:59
ARN3GCX2;Alior Bank Oddział;Bielsko-Biała;ul. Cieszyńska 365;43-382;Śląskie;21.03.2019;00:00 - 23:59
ARN3GCX3;Alior Bank Oddział;Katowice;ul. Warszawska 3;40-009;Śląskie;20.03.2019;00:00 - 23:59
ARN3GCX4;Alior Bank Oddział;Sosnowiec;ul. 3 Maja 21;41-200;Śląskie;19.03.2019;00:00 - 23:59
ARN3GCX7;Alior Bank Oddział;Katowice;ul. Wilhelma Szewczyka 7;40-098;Śląskie;20.03.2019;00:00 - 23:59
ARN3GCX8;Alior Bank Oddział;Oświęcim;ul. Rynek Główny 9;32-600;Małopolskie;21.03.2019;00:00 - 23:59
ARN4GCY5;Alior Bank Oddział;Tarnów;ul. Krakowska 12;33-100;Małopolskie;12.03.2019;00:00 - 23:59
ARN4GCZ1;Alior Bank Oddział;Rzeszów;ul. Grunwaldzka 16;35-068;Podkarpackie;12.03.2019;00:00 - 23:59
ARN7GCX6;Alior Bank Oddział;Opole;ul. Kościuszki 1/3 - 3/3;45-062;Opolskie;07.03.2019;00:00 - 23:59
ARNEGCY2;Alior Bank Oddział;Nowy Sącz;ul. Rynek 16;33-300;Małopolskie;13.03.2019;00:00 - 23:59
ARNGGCU2;Alior Bank Oddział;Nowa Sól;ul. Piłsudskiego 41 A;67-100;Lubuskie;12.03.2019;00:00 - 23:59
ARNGGCW7;Alior Bank Oddział;Lubin;ul. Armii Krajowej 2;59-300;Dolnośląskie;13.03.2019;00:00 - 23:59
ARNHGCY6;Alior Bank Oddział;Zakopane;ul. Kościuszki 11;34-500;Małopolskie;14.03.2019;09:00 - 16:30
ARNJGCT9;Alior Bank Oddział;Leszno;ul. Królowej Jadwigi 4;64-100;Wielkopolskie;12.03.2019;00:00 - 23:59
